Date,AAPL,AMZN,GOOGL,META,MSFT
2018-01-02,40.426822662353516,59.45050048828125,53.40517044067383,180.5689697265625,79.32852172851562
2018-01-03,40.41979217529297,60.209999084472656,54.31631851196289,183.80374145507812,79.69772338867188
2018-01-04,40.6075325012207,60.47949981689453,54.527305603027344,183.46533203125,80.39915466308594
2018-01-05,41.06986999511719,61.457000732421875,55.25035095214844,185.9735107421875,81.39596557617188
2018-01-08,40.91731643676758,62.34349822998047,55.44541931152344,187.3968048095703,81.4790267944336
2018-01-09,40.91261672973633,62.6349983215332,55.374755859375,186.98870849609375,81.42367553710938
2018-01-10,40.90324401855469,62.71649932861328,55.242889404296875,186.9588623046875,81.05447387695312
2018-01-11,41.13557815551758,63.83399963378906,55.337928771972656,186.8892059326172,81.2944107055664
2018-01-12,41.56035614013672,65.26000213623047,56.263511657714844,178.52857971191406,82.69733428955078
2018-01-16,41.34914016723633,65.24299621582031,56.265995025634766,177.55320739746094,81.54360961914062
2018-01-17,42.032073974609375,64.75,56.683998107910156,176.76690673828125,83.19573211669922
2018-01-18,42.06961441040039,64.66600036621094,56.52824020385742,178.9565887451172,83.15879821777344
2018-01-19,41.88187789916992,64.72899627685547,56.902950286865234,180.43955993652344,83.06652069091797
2018-01-22,41.539222717285156,66.3655014038086,57.931034088134766,184.5004425048828,84.55249786376953
2018-01-23,41.54861831665039,68.12699890136719,58.52867889404297,188.46177673339844,84.82014465332031
2018-01-24,40.88681411743164,67.87550354003906,58.28583908081055,185.6749267578125,84.7463150024414
2018-01-25,40.15694046020508,68.89749908447266,58.82575607299805,186.60055541992188,85.2170181274414
2018-01-26,40.25080871582031,70.10250091552734,59.09546661376953,189.1087188720703,86.81375885009766
2018-01-29,39.41769027709961,70.88400268554688,59.041725158691406,185.10760498046875,86.68450164794922
2018-01-30,39.185333251953125,71.89099884033203,58.5883903503418,186.2422332763672,85.59544372558594
2018-01-31,39.29329299926758,72.54450225830078,58.829734802246094,186.01333618164062,87.69055938720703
2018-02-01,39.37543869018555,69.5,58.79838562011719,192.18423461914062,86.99832153320312
2018-02-02,37.666934967041016,71.49749755859375,55.693729400634766,189.38742065429688,84.70939636230469
2018-02-05,36.7258415222168,69.5,52.86674499511719,180.40972900390625,81.22062683105469
2018-02-06,38.260677337646484,72.14199829101562,53.96350860595703,184.4407196044922,84.29405975341797
2018-02-07,37.44163131713867,70.83899688720703,52.519405364990234,179.3347930908203,82.7065658569336
2018-02-08,36.411354064941406,67.5250015258789,50.14575958251953,170.77513122558594,78.46094512939453
2018-02-09,36.856727600097656,66.9800033569336,52.06458282470703,175.2838897705078,81.3867416381836
2018-02-12,38.341270446777344,69.3115005493164,52.47711181640625,175.5824737548828,82.26353454589844
2018-02-13,38.725372314453125,70.72550201416016,52.45621109008789,172.3377685546875,82.90963745117188
2018-02-14,39.439353942871094,72.55249786376953,53.379791259765625,178.67788696289062,84.20783996582031
2018-02-15,40.763668060302734,73.08799743652344,54.308353424072266,179.1158447265625,85.92334747314453
2018-02-16,40.631717681884766,72.43450164794922,54.514373779296875,176.52801513671875,85.31132507324219
2018-02-20,40.49504089355469,73.4175033569336,54.91694641113281,175.18434143066406,85.97897338867188
2018-02-21,40.31123733520508,74.14600372314453,55.42253112792969,177.07545471191406,84.83839416503906
2018-02-22,40.64820098876953,74.26699829101562,55.23094177246094,178.15037536621094,85.06095123291016
2018-02-23,41.35513687133789,75.0,56.13611602783203,182.43020629882812,87.2215576171875
2018-02-26,42.17280960083008,76.09750366210938,56.91290283203125,184.06251525878906,88.482666015625
2018-02-27,42.036136627197266,75.5989990234375,55.60963439941406,180.6088104248047,87.35136413574219
2018-02-28,41.97251510620117,75.62249755859375,54.93336486816406,177.48353576660156,86.95262145996094
2018-03-01,41.2373161315918,74.67250061035156,53.31560134887695,175.11468505859375,86.0995101928711
2018-03-02,41.52243423461914,75.01249694824219,53.949073791503906,175.79148864746094,86.28495788574219
2018-03-05,41.666175842285156,76.18049621582031,54.477542877197266,179.55374145507812,86.83206939697266
2018-03-06,41.63082504272461,76.88200378417969,54.7830810546875,178.93666076660156,86.53532409667969
2018-03-07,41.244380950927734,77.25,55.48672103881836,182.84823608398438,87.03607940673828
2018-03-08,41.69445037841797,77.59300231933594,56.200313568115234,181.4846649169922,87.56464385986328
2018-03-09,42.41080093383789,78.94450378417969,57.76582717895508,184.361083984375,89.52125549316406
2018-03-12,42.820823669433594,79.91950225830078,58.01911544799805,183.89332580566406,89.73453521728516
2018-03-13,42.408447265625,79.40899658203125,56.724300384521484,181.0268096923828,87.5461196899414
2018-03-14,42.04792404174805,79.55000305175781,57.171165466308594,183.32598876953125,87.02682495117188
2018-03-15,42.0974006652832,79.11599731445312,57.25675582885742,182.99752807617188,87.33283996582031
2018-03-16,41.948944091796875,78.58399963378906,56.451107025146484,184.2217559814453,87.7223129272461
2018-03-19,41.30799865722656,77.24649810791016,54.741783142089844,171.7505340576172,86.1366195678711
2018-03-20,41.293853759765625,79.32550048828125,54.529296875,167.3612060546875,86.35916137695312
2018-03-21,40.358360290527344,79.09300231933594,54.439727783203125,168.5954132080078,85.75643157958984
2018-03-22,39.78811264038086,77.24600219726562,52.406944274902344,164.1165313720703,83.26200103759766
2018-03-23,38.86675262451172,74.77799987792969,51.083274841308594,158.64231872558594,80.84173583984375
2018-03-26,40.71182632446289,77.79299926757812,52.45372009277344,159.30918884277344,86.96189880371094
2018-03-27,39.667938232421875,74.85250091552734,50.10744094848633,151.50595092773438,82.96526336669922
