Date,AAPL,AMZN,GOOGL,META,MSFT
2018-01-02,,,,,
2018-01-03,,,,,
2018-01-04,,,,,
2018-01-05,,,,,
2018-01-08,,,,,
2018-01-09,,,,,
2018-01-10,,,,,
2018-01-11,,,,,
2018-01-12,,,,,
2018-01-16,,,,,
2018-01-17,,,,,
2018-01-18,,,,,
2018-01-19,,,,,
2018-01-22,,,,,
2018-01-23,,,,,
2018-01-24,,,,,
2018-01-25,,,,,
2018-01-26,,,,,
2018-01-29,,,,,
2018-01-30,,,,,
2018-01-31,,,,,
2018-02-01,,,,,
2018-02-02,,,,,
2018-02-05,,,,,
2018-02-06,,,,,
2018-02-07,,,,,
2018-02-08,,,,,
2018-02-09,,,,,
2018-02-12,,,,,
2018-02-13,,,,,
2018-02-14,,,,,
2018-02-15,,,,,
2018-02-16,,,,,
2018-02-20,,,,,
2018-02-21,,,,,
2018-02-22,,,,,
2018-02-23,,,,,
2018-02-26,,,,,
2018-02-27,,,,,
2018-02-28,,,,,
2018-03-01,,,,,
2018-03-02,,,,,
2018-03-05,,,,,
2018-03-06,,,,,
2018-03-07,,,,,
2018-03-08,,,,,
2018-03-09,,,,,
2018-03-12,,,,,
2018-03-13,,,,,
2018-03-14,,,,,
2018-03-15,,,,,
2018-03-16,,,,,
2018-03-19,,,,,
2018-03-20,,,,,
2018-03-21,,,,,
2018-03-22,,,,,
2018-03-23,,,,,
2018-03-26,,,,,
2018-03-27,,,,,
2018-03-28,,,,,
2018-03-29,,,,,
2018-04-02,,,,,
2018-04-03,,,,,
2018-04-04,0.007973321183506531,0.0028076992206073695,0.002400719479605011,0.0012911581973455016,-0.00612144508163345
2018-04-05,0.007951694482777688,0.002575722951816472,0.002523982122723721,0.0011201475762194733,-0.006117580898532576
2018-04-06,0.007651429688894554,0.002103985405572651,0.0023506947540602174,0.0010741589103167026,-0.006324626282912773
2018-04-09,0.007666440806110456,0.0021744603560577003,0.0023844084247906204,0.0011498771745333224,-0.006283114791187459
2018-04-10,0.007505784759510463,0.0020910177604731225,0.0022728826170298477,0.0003865905861727033,-0.006474538903471716
2018-04-11,0.007495296521740642,0.002063659511285537,0.0022321089227689064,0.0003547891175324745,-0.006528430813954884
2018-04-12,0.007451255519385382,0.0020032303957098242,0.0021650321486810023,0.0002967675206046877,-0.006634177849078209
2018-04-13,0.007460523630270985,0.002015258734126172,0.002167786562688564,0.0002855893984535056,-0.006649489492130234
2018-04-16,0.007491512190633525,0.0021630252783771883,0.0022487712691773368,0.0009490089955666962,-0.006593225119874282
2018-04-17,0.007419855871038994,0.0015262614878201186,0.0018213611452634754,0.000747412790242874,-0.00663877058577864
2018-04-18,0.00754004452373731,0.0014994318229177017,0.001843489584724356,0.0006925393541316362,-0.006506863036611906
2018-04-19,0.007173148851839499,0.0014111955270074902,0.0017710294803716144,0.0007094026784002054,-0.006514310375517741
2018-04-20,0.006451746730172046,0.0012352962669520129,0.0017476910296655886,0.0007052580948070306,-0.006574515207280057
2018-04-23,0.006473273029980409,0.0013955464538925703,0.001889048924309588,0.0009086462522926511,-0.006468869707370529
2018-04-24,0.006400387532760263,0.0010341499984561318,0.0011097401395205458,0.0006637139811675949,-0.00668769135613392
2018-04-25,0.006486935649260027,0.0010428594613609704,0.0011095316231647355,0.0007172656105977303,-0.00671865841138547
2018-04-26,0.0066110351284380565,0.0005876403364468187,0.0009759988485948112,-0.0021278283139838546,-0.006869202240801616
2018-04-27,0.006560833587183509,0.0002616951566248721,0.0009576330341981056,-0.002063240203136873,-0.006841219019697906
2018-04-30,0.006593618599880224,0.0002783583095181258,0.0009170802167881714,-0.001954913493461847,-0.007062836885889406
2018-05-01,0.006376620370471875,0.00030713236579838973,0.0007156412322356677,-0.001982973396604911,-0.007087506168544512
2018-05-02,0.005571880602139086,0.0002942211799669345,0.0006725369745540048,-0.0020407100231484843,-0.006966961037700177
2018-05-03,0.005572081950427875,0.0009816958777475668,0.0006714426390372098,-0.0017023800447197625,-0.006955410107758964
